,title,internal_id,url,description,responsibilities,qualifications,company,publish_date
10,Intelligence and Due Diligence Manager (Fixed Term Contract),2291008,https://boards.greenhouse.io/deepmind/jobs/4334170,,"Scale and manage DeepMind’s new Due Diligence Programme and the team coordinators Lead DeepMind’s Intelligence Programme and provide leadership to a team of analysts Provide custom tactical, operational and strategic intelligence reports / briefs for peers and senior collaborators Manage new and existing vendor / supplier contracts, to include budgets, purchase orders, and other administrative processes Establish deep expertise on intel collection requirements; serve as a conduit between intel providers and intel consumers Clearly and concisely articulate complex incidents and situations to a range of collaborators, from operational staff up to ExCo Provide support and participate in incident management as required",,DeepMind,2022-08-05 10:08:56
11,"Laboratory Scientist, Protein Biochemistry and Biophysics, DeepMind Science Lab at The Francis Crick Institute",2325548,https://boards.greenhouse.io/deepmind/jobs/4438793,,"Scientific and technical support of ongoing projects in the lab. Independent execution of research projects involving biochemical, biophysical and structural biology techniques. Report and present research findings and developments (including status and results) clearly and efficiently both verbally and in writing. Training of junior researchers in laboratory techniques.","To set you up for success as a Laboratory Research Scientist at DeepMind, we look for the following skills and experience: PhD or equivalent experience in biochemistry and structural biology. Extensive hands-on wet lab experience in molecular biology techniques, protein expression in e. coli, yeast and insect cells, protein purification, protein biophysical characterisation, functional assays, and structural biology techniques. Ability to independently troubleshoot and implement research projects. Ability to work under pressure to deliver to deadlines. Ability to multitask. Skilled in organising, recording and reporting experiments. Skilled in collaboration and teamwork. Strong knowledgment of COSHH, RAs and implementation of SOPs. Excellent IT skills. Enthusiasm about the application of ML to fundamental problems in biology. In addition, the following would be an advantage: Relevant publication record. A passion for AI! Competitive salary applies.",DeepMind,2022-08-05 10:08:56
12,"Marketing Analytics & Insights Manager, Fixed Term Contract",2311116,https://boards.greenhouse.io/deepmind/jobs/4398046,,,"To set you up for success as a Marketing Data and Insights Manager at DeepMind, we look for the following skills and experience: Proven experience working in a similar Marketing Data, Insight analytics type role Strategic, analytical, and have strong communication skills, as well as being able to relay technical information / data / results Extensive experience working with Google Analytics, Google Optimize, Google Search Console, Data Studio for reporting / dashboarding etc Experience working with Social Listening tools such as Brandwatch, Quid or similar and the data they provide Experience working with PR / Comms Reporting tools such as Signal. AI Strong numerical and analytical skills are crucial Able to combine and interpret high volumes of data from multiple sources Able to synthesise information from a variety of sources, add insightful commentary and translate data / trends into practical recommendations and stories to improve performance Excellent spoken, written and visual communications skills, including the ability to visualise data in simple, concise, clear and impactful ways Strong project management skills and experience in creating insight dashboards (if not the experience, the potential to learn quickly) Commitment to learning about new insight tools Confidence to work with a range of stakeholders and to manage suppliers Hands-on social listening experience, audience analysis or data / statistical analysis, preferably with exposure to audience insights and social media research You work well both independently and as a part of team Strong ability to manage yourself and time, working effectively across multiple priorities Competitive salary applies #LI-NS1",DeepMind,2022-08-05 10:08:56
13,Paralegal / Legal Assistant,2316372,https://boards.greenhouse.io/deepmind/jobs/4414629,"We are now keen to hire a Paralegal / Legal Assistant to join our Legal Team. In this role, you will advise on a range of commercial agreements as well as lead on efforts to streamline the operations and knowledge management of the legal team.",,,DeepMind,2022-08-05 10:08:56
14,People & Culture Partner / Associé(e) Personnel et Culture,2274944,https://boards.greenhouse.io/deepmind/jobs/4289471,"DeepMind has a remarkable track record of scientific breakthroughs. Such extraordinary work is a direct result of the brilliant and diverse people we bring together. Our Operations team work together to maintain, optimise, and nurture our culture to create the best environment in the world for advancing AI research. A place where everyone’s expertise is recognised and where everyone is continually learning and supported to be the best leaders, managers, and collaborators they can be.","Being the first dedicated people partner for the Paris office, building strong relationships with individuals and managers both in Paris and in London. Engaging with French Works Council and teams across Alphabet - collaborating and instilling trust with key stakeholders. Experience in delivering high impact solutions to challenges including organisation design, career development and leadership capability. Extensive coaching and advisory experience; you enjoy partnering closely with managers to develop their skills and improve team performance. Experience acting with confidence in inspiring and fast paced environments, instilling trust in everyone you interact with, and delivering thoughtful and bespoke solutions. Being proactive and adaptable - if you don’t know the answer you are tenacious in finding it out. Possessing a data driven approach to partnering. A focus on continuous improvement (Kaizen approach), driving for progress versus results.",,DeepMind,2022-08-05 10:08:56
15,"People & Culture Partner, Mountain View (Fixed Term Contract)",2328044,https://boards.greenhouse.io/deepmind/jobs/4446243,"DeepMind has a remarkable track record of scientific breakthroughs. Such extraordinary work is a direct result of the brilliant and diverse people we bring together. Our People and Culture team work together to maintain, optimise, and nurture our culture to create the best environment in the world for advancing AI research. A place where everyone’s expertise is recognised and where everyone is continually learning and supported to be the best leaders, managers, and collaborators they can be.","You are an effective advisor and enjoy coaching managers on a 1:1 basis to develop their skills and enhance team performance. Possessing a natural ability to build relationships with people, you put them at ease and create understanding. You enjoy spending time with people and have a strong sense of empathy. Experience in delivering high impact solutions to challenges including organisation design, career development and leadership capability. You enjoy operating independently but love being part of a highly encouraging supportive and collaborative team. Having a strong understanding of human behaviour, including a strong understanding of self. You are exceptionally organised, used to working in a dynamic environment and balancing many different tasks. You are proactive and see what needs to be done. Comfortable with ambiguity, you enjoy changeable environments where you can implement creative and innovative ideas. You can act with confidence in a driven culture, instilling trust in everyone you interact with, delivering thoughtful solutions. You can turn your hand to most things and if you don’t know the answer you are tenacious in finding out. Data driven approach to partnering. You enjoy variety and have a get stuck in mentality - no task is too big or too small. You are proactive and see what needs to be done. You are inventive and enjoy managing your own work and projects. You share information and support the growth and development of others in your team, understanding that succeed or fail, we do so as a team. You are looking for a fixed-term role where you have the chance to be a key part of something extraordinary, the opportunity to make a real difference.","In order to set you up for success as a People & Culture Partner at DeepMind, we look for the following skills and experience: You have substantial experience operating as an HR professional, preferably some of which was in a small but fast growing business, where you had to wear multiple hats and build innovative HR practices and frameworks yourself You like a blend of partnering and project work and are able to seamlessly move from one to the other. Competitive salary applies",DeepMind,2022-08-05 10:08:56
16,Post Production Specialist,2321123,https://boards.greenhouse.io/deepmind/jobs/4429461,As Post Production Specialist you will play a key role in the AV engineering team working to deliver DeepMinds mission to our audiences both internal and external using world class broadcast technology and setting the standard for content output.,,"Essential: demonstrated skills and experience using the Adobe Creative Cloud suite, YouTube Live and Google Meet applications Essential: demonstrated skills and experience using Mac platform and AJA Ki Pro Ultra hard disc recorders Essential: extensive knowledge of broadcast video standards and content delivery mechanisms Knowledge of the EVS platform an advantage as well as experience with large nearline storage systems Knowledge of studio and production equipment and best practices including camera and lighting setups Excellent organisation, planning, and communication skills Ability to stay curious and challenge processes and technology; look for ways to streamline and provide cost / resource efficiencies Ability to manage numerous projects simultaneously and meet deadlines",DeepMind,2022-08-05 10:08:56
17,"Principal, Strategy & Operations for Life Sciences (Fixed Term Contract)",2308577,https://boards.greenhouse.io/deepmind/jobs/4449558,"Artificial Intelligence could be one of humanity’s most useful inventions. At DeepMind, we’re a team of scientists, engineers, machine learning experts and more, working together to advance the state of the art in artificial intelligence. We use our technologies for widespread public benefit and scientific discovery, and collaborate with others on critical challenges, ensuring safety and ethics are the highest priority!","Manage consultancies: we plan to work with two consultancies to carry out a 12-month effort. This will include both a quantitative analysis of AlphaFold citations, and a qualitative assessment of who is using, or not using AlphaFold, and how. The consultancies are due to start work in late June. In this position, you will help us to supervise and review the consultancies’ work, ensure it aligns with the agreed scope, and ensure that the different workstreams are coordinated. Understand AlphaFold use: track and review internal discussions and flagship publications relating to AlphaFold use, to help inform the workstream. Reporting and analytics: support on collating and analysing other relevant data points that DeepMind has access to on AlphaFold use, for example, Google Analytics data for the AlphaFold Database. You will support on identifying and creating new metrics (quantitative and qualitative) to measure the impact of AlphaFold and other DM workstreams. Secure internal inputs and consensus: coordinate with various teams at DeepMind to review outputs and ensure they’re useful. This includes marketing, research and social impact teams, and select external partners. Supporting later dissemination: work with internal teams, such as those focussed on marketing, public policy and product / engineering, to find ways for those teams to incorporate the findings and insights from the workstream into their work. Draw wider learnings for DeepMind: summarise findings and help to scope a broader approach for social impact monitoring evaluation for DeepMind (including ongoing AlpahFold work).","In order to set you up for success as a Principal for Strategy & Operations at DeepMind, we look for the following skills and experience: Bachelor’s or Master’s degree in Biology, Public Policy, Data Analytics, or in a related field, or equivalent experience. Experience in running complex projects, involving multiple external and internal collaborators, including consultancy partners. Experience leading projects that involve assessing quantitative and qualitative evidence, and drawing out insights and conclusions. In addition, the following would be an advantage: Experience and / or familiarity with the field and techniques of social impact evaluation, including research impact evaluation. Experience, familiarity and / or interest in science research, and in particular, biology. Competitive salary applies. Our list of benefits at DeepMind is extensive, and we’re happy to discuss this further throughout the interview process! Application Deadline: 7th August 2022.",DeepMind,2022-08-05 10:08:56
18,"Product Manager, Applied, Mountain View",1446798,https://boards.greenhouse.io/deepmind/jobs/2381777,"Artificial Intelligence could be one of humanity’s most useful inventions. At DeepMind, we’re a team of scientists, engineers, machine learning experts and more, working together to advance the state of the art in artificial intelligence. We use our technologies for widespread public benefit and scientific discovery, and collaborate with others on critical challenges, ensuring safety and ethics are the highest priority.","Identify new high-potential technologies within DeepMind that could have a groundbreaking impact. Create technology vision and build the case for DeepMind and partners, including Google, to invest in new product development. Develop product requirements for research grounded products to scale. Work with partners to formulate use cases, product execution, and to sell our technologies to their end customers, being a full partner in product development. Build strong partnerships across Alphabet and understand the top priorities for different teams to evaluate where DeepMind’s research can have the largest impact.","In order to set you up for success as a Product Manager at DeepMind, we look for the following skills and experience: BSc or MSc in Computer Science or equivalent technical field Passion for AI / ML and their real world applications In addition, the following would be an advantage: Previous experience in Software Engineering or Product Management MBA Competitive salary applies.",DeepMind,2022-08-05 10:08:56
19,"Product Manager, Applied, New York",1446798,https://boards.greenhouse.io/deepmind/jobs/4330023,"Artificial Intelligence could be one of humanity’s most useful inventions. At DeepMind, we’re a team of scientists, engineers, machine learning experts and more, working together to advance the state of the art in artificial intelligence. We use our technologies for widespread public benefit and scientific discovery, and collaborate with others on critical challenges, ensuring safety and ethics are the highest priority.","Identify new high-potential technologies within DeepMind that could have a groundbreaking impact. Create technology vision and build the case for DeepMind and partners, including Google, to invest in new product development. Develop product requirements for research grounded products to scale. Work with partners to formulate use cases, product execution, and to sell our technologies to their end customers, being a full partner in product development. Build strong partnerships across Alphabet and understand the top priorities for different teams to evaluate where DeepMind’s research can have the largest impact.","In order to set you up for success as a Product Manager at DeepMind, we look for the following skills and experience: BSc or MSc in Computer Science or equivalent technical field Passion for AI / ML and their real world applications In addition, the following would be an advantage: Previous experience in Software Engineering or Product Management MBA Competitive salary applies.",DeepMind,2022-08-05 10:08:56
