,title,internal_id,url,description,responsibilities,qualifications,direction,company,depart_company,LocationName,publish_date
53,Alibaba Cloud Intelligence GTS - Technical Manager / Delivery Architect Thailand,dPVUM7p0s8VuZdIi6vabtw%3D%3D,https://careers.alibaba.com/positionDetail.htm?positionId=dPVUM7p0s8VuZdIi6vabtw%3D%3D,"1. To understand the business scenarios of large enterprises, cooperate with the IT, application architecture and personnel of the enterprise, sort out and analyze the existing IT architecture of the customers, assist and provide the IT plan for the overall planning of the IT, and to promote the provision of the pre-sales architect design of the landing, implementation and delivery work. 2. Help large enterprises to develop IT architecture and business processes, including digitalization, Cloud adoption, containerization, business continuity planning, disaster and recovery, exception handling mechanisms and problem contingency plans based on Alibaba cloud product and technical system. 3. As technical lead and architect for big project including Alibaba cloud hybrid or private project, data mid-end, smart cities, integration project and etc. , provide consulting, architecture and implementation, risk and quality management, operation optimization and ultimately make sure project success and value delivery. 4. Regular communication with the customer teams and executives to develop strategic, technical roadmap and plans that help customers achieve their business objectives.",Nan,"1. Bachelor’s degree required and a minimum of 5 years’ experience, solid experience with at least one or two programing languages Java / Python / Scala / Go / C++ development. 2. A background in IT, computer science and / or cloud computing with a good understanding of networking, servers, storage systems, enterprise applications and the cloud. 3. Expert knowledge and understanding of cloud architecture design and familiar with architecture methodology and practice in applications / websites. 4. Familiar with Linux / windows and open source（Nginx、Tomcat、Hadoop、Hbase、zookeeper、MQ、MySQL、PostgreSQL、Redis、Memcache、Kafka、RabbitMQ、Hive and etc. ). 5. Strong cloud technical architecture knowledge, experienced with cloud migration, distributed system design, HA / Failover and able to design cloud system accordingly 6. Experience with Microservices, Containers and / or Serverless (including Istio、Docker、Kubernates，mesos tools ) 7. Good understanding of major cloud computing vendors, such as AWS, GCP and Microsoft azure, knowledge on Alibaba cloud is a plus. 8. Self-motive, quicker learner and able to work under high pressure. 9. Fluent Thai and English communication skills are required. 10. Ability to speak and write Mandarin at professional level is a plus",Engineer-General,Alibaba,基础技术与海外TM,"Bangkok,Thailand",Nan
54,"Alibaba Cloud Intelligence Technical Account Manager Sunnyvale, US",Mcom5MNTs_aIWI6FR4knGA%3D%3D,https://careers.alibaba.com/positionDetail.htm?positionId=Mcom5MNTs_aIWI6FR4knGA%3D%3D,"The Technical Account Manager (TAM) is the only front-line customer facing support role within the services organization. TAM among other things, is responsible for the overall growth, quality, and satisfaction of the customer’s services relationship；TAM is the customer’s advocate within Alibaba Cloud and works closely with the Alibaba Cloud teams to ensure the customer’s requests, issues, and features are given the appropriate priority. 1. Customer Advocate, work with Alibaba cloud product experts to ensure health and stable on-cloud operation and respond to the needs of customers with confidence and ease for a better customer experience, improve problem handling mechanisms and processes in the process. 2. Map cloud solutions to the customer’s unique business and technical requirements to ensure strategic long-term value 3. Understand the customer’s relevant business challenges while functioning as a trusted advisor for “best practices” and drive further adoption of Alibaba solutions within your assigned accounts 4. Provide project leadership, coordination and architectural guidance for the customer’s major cloud initiatives 5. Maintain high-level technical knowledge of core cloud solutions and future product direction 6. Manage and own competing requests across multiple client engagements 7. Use customer satisfaction results to drive service and product improvement",Nan,"1. More than 5-year server development, maintenance and optimization experience of large-scale Internet / Enterprise IT applications in logistics, medical, retail, automotive, electronics, finance and other industries, and with more than 3 years project management experience, good at promoting cross-sectoral implementation of complex projects and a strong ability to take results. 2. Demonstrated ability and experience in customer-facing positions as a technology consultant (preferably with a management consulting, IT vendor or professional services organization) 3. Excellent communication skills, teamwork experience, professionalism and learning ability. 4. Excellent document writing skills, speech skills, and technical training capabilities. 5. Must be agile and able to adjust quickly to many different situations and challenges, strong ability to withstand pressure and execution, and can accept a certain frequency of travel. 6. Language proficiency in both Mandarin and English. 7. Satisfy one or more of the following conditions: -Familiar with one or more of data management technologies such as Oracle, DB2, SQL Server, MySQL, PostgreSQL, NoSQL, etc. , have practical experience in production system application, can independently complete the deployment of related products, troubleshooting, and performance tuning jobs. -Familiar with one or more of Nginx, JBoss, WebLogic, WebSphere, Dubbo and other middleware products. -Familiar with Java / C / C ++ / Python / PHP / GO at least one of the development languages, and its corresponding development framework under the multi-threaded, high concurrent processing mechanism. -Familiar with Windows, Linux operating system and DNS, AD, etc. , with more than 5 years of system management / network / troubleshooting experience. -Familiar with open source or commercial technology such as Hadoop / Spark / Storm / HBase / Hive, with practical experience in large commercial application development. 8. Preferred: -Fluent in writing and oral Chinese. - ACP (Ali cloud professional certification), ACA (Ali cloud senior certification), ACM (Ali cloud master certification) is preferred. -Of large-scale application development or operation and maintenance experience on Alibaba cloud.",Engineer-General,Alibaba,国际服务部,"Sunnyvale,California,United States",Nan
55,Alibaba Cloud Intelligence Solutions Architect South Korea,C0fAk3PrGMTmAr8%2Fsv3xnA%3D%3D,https://careers.alibaba.com/positionDetail.htm?positionId=C0fAk3PrGMTmAr8%2Fsv3xnA%3D%3D,"1. Create and present solution architecture designs to C-level / senior personnel. 2. Responsible for understanding the requirements of customers and partners, and provide appropriate technical cloud solutions and architecture designs based on Alibaba Cloud cloud services. 3. Provide assistance to Alibaba Cloud customers and partners in migrating their existing IT system onto Alibaba Cloud platforms. 4. Responsible for demo development and testing Alibaba Cloud services.",Nan,"1. A background in IT, computer science and / or cloud computing with a good understanding of networking, servers, storage systems, enterprise applications and the cloud. 2. A minimum of 5 years experience working and consulting on enterprise architecture design and has a strong understanding of customer needs and requirements. Experience working or studying abroad is preferred. 3. Expert knowledge and understanding of cloud architecture design and familiar with architecture methodology and practice in internet based applications / websites. Must also be familiar with procedures and tools for application migration and cloud / virtualization solutions for enterprise customers. 4. Excellent writing, proofreading and editing skills. Able to create documentation that can express cloud architectures using text and diagrams. 5. Nice to have one of the industry experience from Internet, Retail, Enterprise Service. . . 6. Able to work under high pressure, a quick learner with a passion for cloud technology. Able to think strategically about businesses, products and technical challenges. 7. Excellent verbal and written communication skills, including English or Chinese; 8. Candidates with Alibaba Cloud certification (ACP) will be considered first.",云智能行业解决方案-行业,Alibaba,韩国,"Seoul,Korea",Nan
56,Alibaba Cloud Intelligence Technical Account Manager Singapore,ECzEY7mCJ8DN_8DneNcvPg%3D%3D,https://careers.alibaba.com/positionDetail.htm?positionId=ECzEY7mCJ8DN_8DneNcvPg%3D%3D,"1. Act as a customer advocate, provide proactive services to improve health and stability of customer’s on-cloud IT operational health in assigned accounts, as part of Alibaba cloud enterprise support plan. 2. Brings to the customer is successful operation, and hence realization of value of Alibaba cloud products. 3. Focus on increasing customer satisfaction, reducing support costs, and providing awareness needed around product improvements. 4. Understand the customer’s relevant business challenges while functioning as a trusted advisor for “best practices” and drive further adoption of Alibaba cloud solutions in assigned accounts. 5. Candidate with a strong communication / consulting / support background and proven customer-facing, and relationship management skills. 6. TAM will be the point-of-contact for aftersales delivery of pro-active services, best practice advice and guidance, and being the customer’s technical advocate within Alibaba Cloud. 7. Coordinate with the Account Management, support, consulting, and engineering teams in Alibaba cloud, to ensure technical queries are addressed, in a timely manner, to meet the project timelines and requirements. 8. Deep understanding of the products, and technologies involved, to help assigned accounts avoid issues, mitigate risks and manage changes and incidents.",Nan,"1. More than 5 years’ experience working in complex enterprise IT environments in consulting, support, account management roles 2. Able to demonstrate ability and experience in customer-facing positions as a technology consultant 3. Excellent communication skills, teamwork experience, professionalism and learning ability. 4. Must be agile and able to adjust quickly to many different situations and challenges, strong ability to withstand pressure and execution, and can accept a certain frequency of travel. 5. Language proficiency in both English and Mandarin on written and verbal communication skills is a must 6. Familiar with Windows, Linux operating system and DNS, AD, etc. , with more than 5 years of system management / network / troubleshooting experience. 7. Familiar with one or more of data management technologies. 8. Candidate with cloud skills along with certifications like ACP / ACA or related experience in Alibaba or other cloud provider is preferred",Technology - Integration,Alibaba,国际服务部,"Singapore,Singapore",Nan
57,"Ant Group AML Expert, EMEA International BG",jA1x5X%2F2_4TjTsXbobPpyw%3D%3D,https://careers.alibaba.com/positionDetail.htm?positionId=jA1x5X%2F2_4TjTsXbobPpyw%3D%3D,"Based in London, United Kingdom, the Regional AML-Anti Money Laundering Expert will be part of the growing Ant Group Legal, Compliance, Anti-Money Laundering and Data Privacy team supporting the international business. The candidate reports to the Head of Regional AML for UK, Europe, the Middle East and Africa (EMEA). We are looking to hire an inquisitive and detail-oriented AML-Anti Money Laundering professional. The candidate is expected to work very closely with internal stakeholders, including but not limited to members of various departments and functions within the Ant Group and Alibaba Group of companies, as well as with external business associates / partners and regulatory or governmental agencies. The ideal candidate will be a confident and positive self-starter with strong interpersonal and organizational skills, is able to demonstrate the ability to effectively and proactively exercise good judgment and become a trusted partner and business enabler in a fast-paced working environment. The candidate will be versatile and flexible with the ability to manage with ambiguity in a dynamic environment with changing priorities.",Nan,"Key Responsibilities and Expectations, - Familiarity with AML / CFT and sanctions laws and regulations in the UK & EU region & to be able to provide advice and guidance on AML laws and regulations - Formulate, implement and perform periodic reviews / gap analysis of the AML Program, policies and procedures and system controls for entities in the region & identify, mitigate potential areas of AML compliance vulnerability and risks / gaps - Provide oversight of implementation, effectiveness and sustainability of AML controls in the region and if the need arises to lead as the project manager of multiple AML change initiatives - Able to lead and participate in regulatory engagements / consultations and license applications in the region, and ensure business and management are informed and prepared against material reforms and developments. - Able to collaborate with Compliance and other risk and control departments to address AML compliance issues and engender a culture of compliance within the business - University Graduate with at least 7 years of relevant AML experience and expertise within financial services or payment industry - Technically-inclined with an ability to engage and work with technology specialists and very comfortable navigating in a fast-paced rapidly evolving environment where structure is a work in progress - Ability to work under pressure, meet deadlines and work effectively with multiple stakeholders - Proficient in English and ideally in Mandarin to communicate with our mandarin speaking stakehold",Risk Management-Risk Strategy Operation,Alibaba,欧洲区域反洗钱,"London,England,United Kingdom",Nan
58,Ant Group Senior Compliance AML (EDD) Specialist Anext Bank,sxfGmkF3kwTQF0IEIL1aaQ%3D%3D,https://careers.alibaba.com/positionDetail.htm?positionId=sxfGmkF3kwTQF0IEIL1aaQ%3D%3D,"- Manage EDD tasks in entirety with team members to ensure timeliness, accuracy and completeness for all types of EDD reviews - Perform QC on onboarding, periodic and trigger EDD reviews of all types of entity customers, particularly Asia Pacific SMEs on timely basis - Assist MLRO in providing expert and practical advice to internal stakeholders on regulatory requirements, policies, procedures, and areas of AML / CFT, particularly in the areas of customers’ KYC, name screenings and enhanced due diligence (EDD) - Develop, implement and maintain relevant policies, procedures, templates, manuals on AML / CFT controls framework - Manage all incidents, escalations and exceptions relating to EDDs, name screenings and AML solutions / systems - Develop a deep understanding of system capabilities, to propose and lead in system building or enhancements necessary to meet regulatory requirements, including and not limited to EDDs and name screenings - Manage and monitor performance of outsourced AML operations team and provide feedback / training where required - Design related MIS reports and present to Senior Management and / or Board of Directors, measuring success and performance of AML Compliance initiatives, program, operations, critical metrics, and KRIs - Conduct timely investigations and reviews on relevant customers risk areas and submit suspicious account report (SAR) where required - Execute post-STR actions on STR-filed parties to subject customers to enhanced due diligence where required - Conduct regular training to various stakeholders on AML / CTF matters - Monitor, keep abreast and assess impact of AML regulatory developments in Singapore - Support MLRO in executions of other ad-hoc key AML / CFT matters where required",Nan,"- With at least 7 to 10 years relevant experiences in Anti-Money Laundering (AML) and Countering Terrorism Financing (CFT) in a banking environment, ideally corporate banks - Strong in leading, communicating and collaborating with critical thinking and analytical skills - Keen interests in managing system enhancements and implementation projects with passion to identify areas of automation and process improvements - Proficient in English and Mandarin to communicate with our Mandarin-speaking stakeholders",Integration - Legal affairs,Alibaba,反洗钱,"Singapore,Singapore",Nan
59,Alibaba Cloud Intelligence Business Development Manager (META region) Turkey,MBV%2FNc8hNb4PYdssraq8_Q%3D%3D,https://careers.alibaba.com/positionDetail.htm?positionId=MBV%2FNc8hNb4PYdssraq8_Q%3D%3D,1. Accelerate the growth of Alibaba Cloud business in focused countries and segments across META region 2. Develop comprehensive GTM plan with excellent execution capability 3. Create & articulate compelling value propositions around Alibaba Cloud services 4. Accelerate customer adoption in the enterprises in META region 5. Work with partners to extend reach & drive adoption 6. Develop long-term strategic relationships with key accounts 7. Should be able to drive marketing initiatives for lead generation and commercial conversion,Nan,"1. Education: Minimum of BA / BS degree in related field, advanced degree preferred (e. g. , MBA). 2. 10+ years BD / Sales experience in cloud computing or ICT related industries. 3. Superior business sense, problem solving, project management and analytical skills. 4. Great communication skills, team spirit, and a can-do attitude. 5. Proven track record of results, demonstrated accountability for achieving individual and shared goals. 6. Cloud computing related technical or industry knowledge is plus. 7. Fluent local language is strong Plus. 8. Location required: Dubai / Turkey / South Africa / Pakistan.",Market Development - BD,Alibaba,MEA BD,"Dubai,United Arab Emirates",Nan
60,Ant Group Credit Management Manager Anext Bank,X78AlBWg9iVuWpowotsAxg%3D%3D,https://careers.alibaba.com/positionDetail.htm?positionId=X78AlBWg9iVuWpowotsAxg%3D%3D,"- Understand how the Bank’s risk appetite and risk culture should be considered in day to day activities and decisions - Implement collection strategies and key processes for the Collections Team - Design and coordinate the implementation of systems requirements for collections, reporting requirements and ensure high levels of automation - Perform the Collections Function on a day-to-day basis including skip tracing and liaison with external agencies including engagement with debt collection agencies to institute collection strategies - Develop, maintain and monitor the KPIs for external agencies - Conduct daily portfolio monitoring and regular reviews on delinquent accounts - Assess and recommend remedial actions on distress accounts for approval - Assess and prepare accounts for write off - Manage collection complaints and develop resolution timeframe and benchmarks - Prepare reporting dashboards (including but not limited to delinquency trends, flow rate velocity, recovery indicators, forecasting and making provisions for loan impairments) for management’s review - Recommending appropriate Loan classification for each distress borrower - Initiating Legal Proceedings on problem credits where applicable - Optimise digital collection strategies and review effectiveness against cost impact - Conduct lessons learnt and training activities to promote risk / control awareness",Nan,"- Bachelor Degree or above with minimally 3-5 years of relevant collections experience preferably in SME / Business Banking - Experience with Statistical models and ideally AI models in collections - Strong analytical and writing skills - Strong knowledge of industries and economic environment in the region - Familiar with MAS regulations such as MAS Notice 612, MAS guideline on Risk Management Practices and other relevant regulations - Proficient in English and Mandarin to communicate with Mandarin-speaking stakeholders",Risk Management-Risk Strategy Operation,Alibaba,信贷风险,"Singapore,Singapore",Nan
61,Ant Group Credit Approver Anext Bank,KP98O9UqRa9pZwh0MZYgvQ%3D%3D,https://careers.alibaba.com/positionDetail.htm?positionId=KP98O9UqRa9pZwh0MZYgvQ%3D%3D,"- Understand how the Bank’s risk appetite and risk culture should be considered in day to day activities and decisions - Exercise authority in accordance with delegated limits, in the underwriting of SME Banking Credit Risk transactions - Making recommendations for Credit Proposals to the appropriate approving authority for proposals that are not within the delegated authority of the Approver - Conduct Portfolio / Annual Reviews on loan accounts or ad-hoc reviews on accounts displaying early warning signals - Assessing and Approving Problem Credit Remedial Actions in accordance with delegated limits - Contribute to the monitoring / recommendations of watchlist / problem loan management to mitigate the Bank’s exposure and risk of losses - Prepare and analyse risk reports such as portfolio performance, industry exposure, vendor performance - Ensuring proper loan classification for each borrower in accordance with MAS 612 - Conducting Lessons Learnt where applicable for non- performing loans - Support conceptualisation development for new credit products suitable for the SME markets",Nan,"- Bachelor Degree or above with minimally 3-5 years of relevant credit approver experience, preferably in SME / Business Banking - Strong analytical and writing Skills - Strong knowledge of industries and economic environment in the region - Familiar with MAS regulations such as MAS Notice 656, 612, 643, MAS guideline on risk management practices and other relevant regulations - Proficient in English and Mandarin to communicate with Mandarin-speaking stakeholders",Risk Management-Risk Strategy Operation,Alibaba,信贷风险,"Singapore,Singapore",Nan
62,Ant Group Credit Models Validations Lead International BG,iyuDU%2FX6dfb7LVZuXufLoA%3D%3D,https://careers.alibaba.com/positionDetail.htm?positionId=iyuDU%2FX6dfb7LVZuXufLoA%3D%3D,"- Perform pre and post-implementation validations on credit risk models and FRS 9 models in line with best-practice standards - Employ statistical modelling methodology in performing validations and produce outcomes to be analysed from statistical as well as business perspective - Work closely with model developers and provide feedback and value-added advice on the models prior to presentation for approval to Management - Provide and engage in challenging and value-adding discussions to model developers in order to ensure models approved are of the highest standard - Manage electronic data, perform data extraction from databases or write specifications for data to be extracted by the IT team - Aware of Regulators’ (MAS) requirements for IRB models and ensure adherence - Present and explain validation results to the respective management committee / s for endorsement and approval - Conduct occasional briefing sessions to external parties on validation related matters",Nan,"- Possesses a quantitative qualification with at least a Degree (or its equivalent) preferably in Statistics, Mathematics, Accounting, Finance, Banking, Economics, or other related / suitable quantitative discipline from a recognized University - At least 5 years working experience in similar / related functions or statistical modelling related functions - The candidate must be mathematically inclined with familiarity with statistical modelling techniques employed in modelling (for example logistic regression analysis and co-relation analysis) - Familiar with credit risk models used by the banks, such as Application and Behaviour scorecards for business use as well as capital models; namely Probability of Default (PD), Exposure at Default (EAD) and Loss Given Default (LGD) - Familiar with FRS 9 models - Experience in other model types such as Credit Concentration Risk and Pricing models is of added advantage - Highly-skilled in various Excel mathematical and data manipulation functions - Experience in data analysis and data manipulations using SAS software. Familiar with various database structures and proven ability to work with IT on data extraction - Exposure to the various types of portfolios managed by the banking group and experience in business / corporate loan origination and credit processing is an added advantage - Is articulate; has good command of written and spoken English - Meticulous, organised and able to produce documentation of high quality, with clear and concise messaging - Self-assured and able to interact well with various working levels",Risk Management-Risk Strategy Operation,Alibaba,信贷风险,"Singapore,Singapore",Nan
63,亚博科技 Senior Legal Counsel Macau Pass,mri1h9cZlnym8ZymHSHK1g%3D%3D,https://careers.alibaba.com/positionDetail.htm?positionId=mri1h9cZlnym8ZymHSHK1g%3D%3D,"-Prepare and review a wide range of legal and commercial documents in relation to corporate actions of AGTech Holdings Limited (“AGTech”) and the daily operations of Macau Pass (together with its subsidiaries) ( “MP Group”) -Liaise and work closely with business, finance, compliance and administration departments of MP Group and report directly to the General Counsel of AGTech -Advise and work with the compliance team as to the requirements of ""Autoridade Monetária de Macau"" (“AMCM”) from time to time -Lead and supervise onshore corporate secretarial work on statutory compliance of all MP Group subsidiaries, including annual reporting and other statutory and regulatory filings, and maintenance of corporate minutes and other records, including preparation and record keeping -Ensure compliance with all applicable laws when carrying out corporate actions -Coordinate with internal and external parties -Provide support to ad-hoc projects",Nan,"-Qualified lawyer with at least 6 years of PQE with international law firms and / or sizeable organizations -Sound knowledge of Macau company laws -Well versed in preparing and / or reviewing the agreements and statutory documents in Macau -Good communication skills and able to work independently -Self-motivated, well-organized and detailed mind with strong sense of responsibility -Willing to work as a team and able to work under pressure -Knowledge in requirements from AMCM -Good command of both written and spoken English and Chinese, including Cantonese and Putonghua, Portuguese is a plus.",Integration - Legal affairs,Alibaba,企业合规及法务,Macau,Nan
64,Cainiao Network Operations Manager Forwarding (Global supply chain),TPQ4RsyHXu5fbcVVuSE%2FJQ%3D%3D,https://careers.alibaba.com/positionDetail.htm?positionId=TPQ4RsyHXu5fbcVVuSE%2FJQ%3D%3D,"Cainiao as important logistics strength of Alibaba Group, stick to establish a supply chain and logistics network between China - Netherlands, serve millions of Alibaba. com and ecommerce traders. We believe the edging technology and traditional forwarding together can burst new innovation for the industry. We are looking for highly motivated Account Manager to join our talent team to help scale our growing Netherlands local operation and enhancement service. Account Managers experienced in ocean / air forwarding customer service, operation, key account customer maintain are highly welcomed. Responsibilities: Netherlands Buyer key customer management, satisfy and develop key customer’s logistics and transportation needs Linkage between China Cainiao team and Netherlands Cainiao team and customer. Netherlands operation, exception case handling, build and express standard operation SOP internally, system wise the SOP process. Vendor Management, dealing with Netherlands local customs brokers and local vendors for supplier KPI and SOP.",Nan,"Basic Qualifications 5+ years of experience in air / ocean forwarding or logistics industries, client facing roles with Netherlands customs process and operation process knowledge. Experience with data analysis and supply chain planning Preferred Qualifications Excellent organizational, interpersonal and communication (written and verbal) skills Both Chinese and English written and verbal skills Experience with Microsoft Excel / Word / Power Point, and logistics system operation Open to challenge, self-motivated to achieve business goals and make difference. Should you require accommodation to meet the essential functions of this job, please let us know!",Operations - Operational integration,Alibaba,国际运输部,"Amsterdam,Netherlands",Nan
65,蚂蚁集团 保险管家-销售策划专家 保险,BgW1WjH8iUnhHfOLJQe60Q%3D%3D,https://careers.alibaba.com/positionDetail.htm?positionId=BgW1WjH8iUnhHfOLJQe60Q%3D%3D,1、基本法制定 2、专属场景和产品包装方案 3、销售人员培训及标准建立 4、合作渠道机构激励和考核,Nan,1、具备3年以上保险销售团队管理经验，对保险市场主要平台、热门产品、基本法的定制有系统性的理解。 2、有较强的热点事件敏感性，可针对热点事件策划实时销售活动，能够及时联动后台产品与前端活动，并和销售团队形成合力，策划专属场景和产品的销售方案 3、具备较强的沟通表达能力，能够高效组织销售人员培训及标准建立、考核。 4、有机构和生态合作和管理经验优先，确保合作渠道机构激励和考核高效落地执行。 5、国内主要寿险公司总部，或大中型中介代理平台电网销资深管理经验 6、对电网销的监管策略及合规性有较为全面的理解和判断。,Sales - Channel management,Alibaba,渠道管理部,"Hangzhou,Zhejiang,China",Nan
66,Ant Group Regional Sales Manager – Benelux Netherlands,%2FKcA0Mx6FB2_Jx6PgCLcDQ%3D%3D,https://careers.alibaba.com/positionDetail.htm?positionId=%2FKcA0Mx6FB2_Jx6PgCLcDQ%3D%3D,"WorldFirst is shaking up the financial services industry. As part of Ant Group, our mission as a FinTech is ‘to make it easy to do business anywhere’. Our sales team in Amsterdam is responsible for growing the business in mainland Europe (EEA region), and we are looking for experienced sales professionals to join our journey. As a Senior Regional Sales Manager Benelux, you’ll be targeting international mid-sized companies and e-commerce merchants in the Benelux region. You’ll be responsible for expending our client base in the Benelux by promoting the benefits of WorldFirst and the Ant Group ecosystem at prospective clients and to decision making units. Our team vision is to be a high-potential and high-performing sales team, and we want to be the best place to work in the industry. Our purpose it to attract, win and onboard new customers, while we achieve sales excellence and enjoy our job. What you’ll do: You will be responsible for originating new business and achieving commercial targets, through managing various inbound & outbound lead channels and cooperating with Inside Sales, Marketing, Partnerships and outsourced Telesales companies. You will own the full sales cycle from lead-to-customer (lead-generation, sales, onboarding), by executing sales activities and managing a healthy sales pipeline via telephone, virtual and face-to-face client meetings. Daily activities will include: Analyzing market trends and developments Identifying ideal customer profiles in target segments Developing a dynamic sales plan and initiate campaigns Creating relevant sales collateral and client facing documents Establishing a fully developed pipeline of new qualified leads Nurturing and closing open sales opportunities successfully Acting as SPOC for all stakeholders during onboarding process Managing deadlines and ensuring expectations are over-delivered Reporting on activities and pipeline via CRM and frequent 121s You will engage in marketing operations and events,grow your network, and work closely with cross-functional teams within Ant Group and Alibaba to support business development You will build your brand as thought-leader at events, online and to our prospective clients by sharing industry trends and in-depth knowledge of our products and solutions You will focus on client’s business objectives, challenges & needs and apply value-based selling You will make optimal use of CRM tools (SFDC) to store customer data and log activities",Nan,"You are fluent in Dutch and English, with French as additional languages a plus You embrace the predictable revenue model and our value-based selling approach You are a true sales specialist, a (FX) payment expert and a likeable sales professional You have a proven track record of exceeding new business sales targets in B2B market You are a payment expert with over 5 years’ experience in e-commerce or international trade You have a deep understanding of the cross-border payment ecosystem and FX products (pre) You are focused, pro-active, engaged, disciplined, responsible and courageous in your sales role You enjoy executing daily sales activities, building a healthy pipeline and achieving sales targets You are able to connect with the decision-making unit and to win commitment and get buy-in You build networks with clear understanding of stakeholders’ interests (internal & external) You have an existing network of international SME-sized B2B traders in ecommerce (pre) You have excellent convincing communication and presentation skills (verbal & written) You have the ability and willingness to work autonomously, remote and independently",Market Development - BD,Alibaba,Commercial NL,"Amsterdam,Netherlands",Nan
67,Ant Group Regional Sales Manager – Germany Netherlands,yb25ZQU9lBxLeSfPzQz5Mg%3D%3D,https://careers.alibaba.com/positionDetail.htm?positionId=yb25ZQU9lBxLeSfPzQz5Mg%3D%3D,"WorldFirst is shaking up the financial services industry. As part of Ant Group, our mission as a FinTech is ‘to make it easy to do business anywhere’. Our sales team in Amsterdam is responsible for growing the business in mainland Europe (EEA region), and we are looking for experienced sales professionals to join our journey. As a Senior Regional Sales Manager Germany, you’ll be targeting international mid-sized companies and e-commerce merchants in Germany. You’ll be responsible for expending our client base in Germany by promoting the benefits of WorldFirst and the Ant Group ecosystem at prospective clients and to decision making units. Our team vision is to be a high-potential and high-performing sales team, and we want to be the best place to work in the industry. Our purpose it to attract, win and onboard new customers, while we achieve sales excellence and enjoy our job. What you’ll do: You will be responsible for originating new business and achieving commercial targets, through managing various inbound & outbound lead channels and cooperating with Inside Sales, Marketing, Partnerships and outsourced Telesales companies. You will own the full sales cycle from lead-to-customer (lead-generation, sales, onboarding), by executing sales activities and managing a healthy sales pipeline via telephone, virtual and face-to-face client meetings. Daily activities will include: Analyzing market trends and developments Identifying ideal customer profiles in target segments Developing a dynamic sales plan and initiate campaigns Creating relevant sales collateral and client facing documents Establishing a fully developed pipeline of new qualified leads Nurturing and closing open sales opportunities successfully Acting as SPOC for all stakeholders during onboarding process Managing deadlines and ensuring expectations are over-delivered Reporting on activities and pipeline via CRM and frequent 121s You will engage in marketing operations and events,grow your network, and work closely with cross-functional teams within Ant Group and Alibaba to support business development You will build your brand as thought-leader at events, online and to our prospective clients by sharing industry trends and in-depth knowledge of our products and solutions You will focus on client’s business objectives, challenges & needs and apply value-based selling You will make optimal use of CRM tools (SFDC) to store customer data and log activities You have the ability and willingness to work autonomously, remote and independently",Nan,"You are fluent in German and English, with additional European languages a plus You embrace the predictable revenue model and our value-based selling approach You are a true sales specialist, a (FX) payment expert and a likeable sales professional You have a proven track record of exceeding new business sales targets in B2B market You are a payment expert with over 5 years’ experience in e-commerce or international trade You have a deep understanding of the cross-border payment ecosystem and FX products (pre) You are focused, pro-active, engaged, disciplined, responsible and courageous in your sales role You enjoy executing daily sales activities, building a healthy pipeline and achieving sales targets You are able to connect with the decision-making unit and to win commitment and get buy-in You build networks with clear understanding of stakeholders’ interests (internal & external) You have an existing network of international SME-sized B2B traders in ecommerce (pre) You have excellent convincing communication and presentation skills (verbal & written)",Market Development - BD,Alibaba,Sales,"Amsterdam,Netherlands",Nan
68,Ant Group Legal Counsel London,iHks0msxONiHpoF8us%2FOOg%3D%3D,https://careers.alibaba.com/positionDetail.htm?positionId=iHks0msxONiHpoF8us%2FOOg%3D%3D,"We are seeking a Legal Counsel with strong regulatory and commercial background to join our team in London. You will work closely with all areas of the business and take a collaborative approach to solving complex legal challenges. Key Responsibilities: Understand and translate the directives, laws, and regulations that apply to payment networks, payment schemes, and other participants in the payments industry. Provide clear, timely and actionable legal advice to cross-functional stakeholders on products and features being developed and launched by UK and EEA e-money institutions. Act as a trusted advisor to management on key regulatory matters impacting the business across the EMEA region. Identify productivity improvements and help deliver process change. Help the business continue to expand internationally; researching and evaluating new territories and providing creative, proactive and results-oriented advice.",Nan,"Solicitor (UK / European qualified is advantageous) with 5+ years PQE in financial or payment services in either a law firm or in-house legal position. Significant experience drafting and negotiating complex commercial agreements, with strong technology background preferred. Experience in providing legal and regulatory advice for UK or EEA-based e-money or payment institutions. Familiarity with European directives, laws and regulations impacting financial services, particularly within payments sector. Strong interpersonal, organisational, and verbal and written communication skills with the ability to explain complex issues. Experience of proactively identifying key legal and / or regulatory risks. Prioritise and manage multiple tasks and work to tight deadlines in a fast-paced environment. Ability to work autonomously.",Integration - Legal affairs,Alibaba,国际法务,"London,England,United Kingdom",Nan
