topic,Popularity,Word 0,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6,Word 7,Word 8,Word 9,Word 10,Word 11,Word 12,Word 13,Word 14,Word 15,Word 16,Word 17,Word 18,Word 19,Word 20,Word 21,Word 22,Word 23,Word 24,Word 25,Word 26,Word 27,Word 28,Word 29
Topic 43,423,safety,health,fulfillment,associate,whss,whs,operation,mile,location,shift,area,site,ehs,safe,sort,building,station,walk,policy,must,order,lift,ensure,maintain,corporate,prevention,may,workplace,weekend,place
Topic 44,679,supply,chain,plan,supplier,demand,inventory,procurement,operation,cost,capacity,management,material,forecast,logistics,source,manufacturing,order,commodity,cscp,category,fulfillment,transportation,contract,ensure,distribution,optimization,global,risk,end,purchase
Topic 45,591,could,dedication,idea,people,passion,imagine,tell,extraordinary,quickly,become,way,accomplish,product,industry,found,bring,join,entire,service,amaze,leave,innovation,inspire,world,wonder,kind,revolutionize,environmental,technology,everything
Topic 46,970,japanese,attempt,era,refer,something,never,invent,talk,let,description,thought,sell,along,possible,think,call,thing,consult,ready,code,challenge,solve,problem,market,collaborate,new,design,client,make,world
Topic 47,275,accounting,cash,inter,fixe,tax,asset,general,r,bank,ledger,associate,sheet,company,inventory,financial,record,report,indirect,accrual,activity,ordinate,account,finance,profitability,appropriate,journal,error,action,particularly,duplicate
Topic 48,309,de,rience,exp,en,la,programmation,logiciels,avec,eat,syst,ou,em,ncia,l,conception,spitshine,para,ans,un,plus,com,au,veloppement,moins,professionnelle,hors,langage,es,les,experi
Topic 49,369,alexa,device,echo,voice,shop,speech,team,customer,home,smart,feature,summary,language,day,new,scientist,key,natural,fire,make,year,fun,quality,life,join,define,conversational,passionate,deliver,assistant
Topic 50,111,customer,reseller,specialist,product,need,right,get,outstand,lifelong,unlike,freely,skill,strong,comfortably,ready,solution,news,deliver,icon,compassionate,relationship,buzz,empathic,uncover,unique,accessory,merchandising,listener,encounter,magical
Topic 51,763,technician,equipment,center,maintenance,operation,datacenter,procedure,facility,co,electrical,require,service,perform,infrastructure,mechanical,safety,system,support,check,critical,meet,datum,server,troubleshoot,construction,g,environment,repair,following,maintain
Topic 52,647,ar,engineer,vr,ios,software,reality,framework,technology,c,application,graphic,app,augment,team,tdg,interactive,swift,macos,development,platform,look,web,delight,creative,group,user,ui,arkit,help,generation
Topic 53,1340,seller,ability,skill,candidate,strong,communication,demonstrate,detail,write,analytic,commerce,must,associate,excellent,environment,able,fast,summary,retail,pace,require,com,attention,high,ideal,verbal,vendor,key,selection,category
Topic 54,996,familiar,development,responsible,subsidiary,csig,relate,good,optimization,maintenance,wholly,construction,preferr,communication,proficient,analysis,strong,algorithm,common,operation,c,background,research,major,fund,industry,structure,ability,etc,capability,understand
Topic 55,1493,client,consultant,industry,transformation,skill,consult,service,solution,engagement,digital,advise,strategy,knowledge,relationship,lead,understand,cic,banking,expert,sector,help,grow,apply,less,offering,eminence,global,travel,delivery,change
Topic 56,447,video,prime,tv,movie,watch,sport,stream,show,live,entertainment,customer,original,medium,television,audio,studio,exclusive,event,team,buy,playback,content,pv,excite,rent,air,room,production,living,summary
Topic 57,820,store,retail,shop,merchandising,customer,employee,staff,discover,train,benefit,stock,give,time,know,visual,even,learn,app,get,guide,member,charitable,reimburse,within,soul,share,brand,away,grant,inspire
Topic 58,689,music,medium,app,tv,podcast,twitch,amp,entertainment,service,song,audio,book,team,privacy,engineer,million,engineering,side,art,creative,high,thank,store,bigger,although,end,unify,deliver,server,array
Topic 59,880,compliance,risk,diligence,policy,kyc,aml,launder,legal,regulatory,money,review,alert,identify,control,report,financing,terrorist,transaction,due,trend,set,audit,privacy,monitor,internal,issue,analyst,information,anti,documentation
Topic 60,370,transaction,practitioner,healthcare,finance,domain,relish,table,thoughtful,freedom,creative,bring,workplace,payor,operation,delivery,single,blockchain,solution,profitable,name,patient,accomplish,thrive,admin,inspire,collaborative,outsourcing,authorization,cognitive,sla
Topic 61,427,recruitment,interview,coordinator,applicant,hire,talent,candidate,schedule,vendor,source,onboarding,letter,background,coordinate,recruit,administrative,contact,travel,rpo,update,staff,activity,generate,complete,selection,start,expediently,ats,must,recruiter
Topic 62,1503,program,cross,functional,manager,stakeholder,drive,project,management,manage,across,communicate,technical,plan,googlers,engineering,schedule,identify,risk,executive,build,everyone,initiative,define,execution,clearly,multi,organization,metric,end,goal
Topic 63,177,agile,sprint,scrum,story,conflict,per,ground,modell,dedicatedly,retro,dod,retrospective,window,immediately,meet,estimation,provide,iteration,relative,hive,plan,project,implement,principal,answer,raise,safe,accord,analysis,complexity
Topic 64,507,oracle,database,application,sql,erp,middleware,dba,server,pl,hcm,financials,backup,ebs,support,db,postgresql,relational,report,flexcube,recovery,performance,fusion,mysql,rac,tune,incident,system,administrator,hand,requirement
Topic 65,1820,developer,service,know,development,system,develop,code,task,load,kubernetes,python,linux,go,wait,postgresql,platform,infrastructure,java,knowledge,devops,ci,bank,docker,monitor,decent,team,kafka,wage,plus,git
Topic 66,949,content,youtube,creator,writer,story,creative,community,train,policy,edit,writing,social,digital,editorial,share,production,abuse,guideline,communication,workflow,audience,role,learn,explore,create,manage,video,publish,instructional,producer
Topic 67,318,siri,ml,annotation,language,user,assistant,audio,play,intelligent,team,comprehension,analyst,listen,people,focus,passionate,speech,evaluation,attention,grading,device,ask,even,million,fluency,part,intelligence,skill,response,usage
Topic 68,624,android,device,mobile,developer,app,platform,tablet,compute,everyone,os,ios,manufacturer,world,pixel,ecosystem,oems,fire,smartphones,original,tvs,consumer,application,power,connectivity,kotlin,user,chrome,tv,access,wearables
Topic 69,589,camera,image,sensor,imaging,algorithm,hardware,optical,sense,isp,creativity,signal,photo,system,feature,vision,photography,environment,people,module,robustly,spectacular,pixel,intrigue,around,matlab,world,device,live,striving,develop
