,title,internal_id,url,description,responsibilities,qualifications,location,category,company,publish_date
10,Senior Biome Artist,4563325002,https://boards.greenhouse.io/tencent/jobs/4738787002,,"1. Responsible for the game art style setting and the concept design of the art world view in the early stage, as well as the later 2D main characters / scenes design; 2. Responsible for the review and modification of outsourcing resources in the United States and the training / cultivation of the local outsourcing content providers.","1. More than 5 years of art development experience in US game companies, with solid art foundation and excellent design ability; 2. Experienced in the style setting and world view art setting in the early stage of the game; 3. Rich experience in realistic, military game style, and being familiar with firearms is preferred; 4. Creative thinker with strong ability of putting creative ideas into practice for character modeling and color research. Strong sense of responsibility, teamwork and good communication skills; 5. Fluent communication in Chinese is preferred.",Los Angeles,Design & Art,Tencent,2022-06-27
11,Senior Infrastructure Operations Engineer,5081438002,https://boards.greenhouse.io/tencent/jobs/5731326002,,"Position Overview: Tencent Overseas IT has the mission to empower Tencent’s rapid global growth with future-ready, global IT platforms, applications, and services. We are chartered to lead the Overseas IT strategy, architecture, roadmap, and execution. Satisfying our internal / external customers and becoming a world-class global IT team are our top aspirations. We are currently seeking a passionate IT Infrastructure Architect / Engineer to create a world-class collaboration experience for everyone at Tencent Overseas. Reporting to the Director of Employee Experience, you’ll be responsible for designing and building a highly available content, communications, and collaboration environment that lets employees communicate and collaborate easily and intuitively regardless of where or what time zones they’re in. You will be performing technical planning, architecture development, and modification of specifications. Develops specifications for new IT infrastructure products and service offerings. Assesses the compatibility and integration of products or services proposed as standards to ensure an integrated architecture across interdependent technologies. Begins to influence the strategies. Makes decisions on moderately complex to complex issues regarding technical approach for project components, and work is performed without direction. Exercises considerable latitude in determining objectives and approaches to assignments. Primary Duties & Responsibilities: - Design, planning, scoping, assessment, testing, and technical documentation for the implementation, and support of Office 365 and all its related core technologies including Active Directory, Cloud Identities, Exchange, Teams, ADFS, AAD Connect, and EMS - Perform independent high-level design of enterprise application systems. Establishes the basic structure of the system and defines essential core design features and elements that provide the framework to ensure that solutions will perform satisfactorily regarding security, maintainability, and scalability - Review and design current and future systems and services deployed in Azure, AWS, Tencent Cloud, and other cloud environments. Analyze, review, and implement opportunities for improvement in information systems, and approaches to mitigate risks, resolve security alerts and preempt possible adverse outcomes of identified weaknesses - Work with internal and external partners, infrastructure engineers, and our hardware vendors to design and develop a roadmap for the evolution of our infrastructure platform strategy. Participate in the development and regular testing of Disaster Recovery and Business Continuity solutions. - Contribute to the continuous improvement of IT infrastructure through ITIL service delivery practices. Resolve system emergencies with a significant impact on the integrity of user data and systems - Establish software / hardware standards and systems policies and procedures - Engage in long-term strategic planning regarding systems development and integration - Conceptualize and implement systems within broad technical or structural frameworks - Perform capacity planning for IT infrastructure system configuration, software services, network services, load distribution, and service interrelationships among infrastructure systems - Act as a technical expert or lead for local IT infrastructure system administration - Act as project leader on large-scale infrastructure projects in which strong technical, directional, and personal leadership is necessary; assign and oversee the work of other system administrators as needed","Who we are looking for: - Self-motivated, articulate, and passionate to deliver the best result and achieve the highest customer satisfaction. Quick learner. - Love satisfying customers with a state of art cloud solutions, realizing ideas, building services, and unlocking the potential of new technology! - Collaborative, independent, insistent, flexible, and open-minded. And you see no conflict in any of these things - Knowledgeable, resourceful, and show initiative. You always keep the customer’s objectives in mind - Positive by nature, a great team player, and both dependable and autonomous - Customer-oriented and could work at a very fast pace Qualifications: - BS / MS in Computer Science, Engineering, or 8 years of relevant experience - 5+ years in IT operations including Office 365, Active Directory, Exchange, Web Servers, Load Balancers, Relational / Non-relational Databases, Messaging Systems, and Storage Solutions - 3+ years coding / scripting in at least 1 high-level programming language - Python, Go, Rust, etc. - Deep understanding of Linux operation system and TCP / IP fundamentals. Prior experience supporting a container orchestration platform in production, preferably Kubernetes - Expertise with at least 1 major cloud service provider- Azure, AWS, Tencent Cloud - Proficient in modern CI / CD techniques, DevOps, and Infrastructure as Code(IaC) - Excellent troubleshooting and problem-solving skills. Detail-oriented with great communication and documentation skills",Palo Alto,Technology,Tencent,2022-06-25
12,Senior Optical System Engineer / Engineering Lead,5296954002,https://boards.greenhouse.io/tencent/jobs/6196879002,,"Responsibility: 1. Research and development of emerging concepts in optical systems for next generation AR / VR Near Eye Displays and Optical systems. 2. Define the requirements of the optical systems and bring designs to concepts and products for next generation AR / VR experience. 3. Establish engineering specifications, including key performance metrics, test methods, and test requirements for optical components and subsystems. 4. Modeling, prototyping and validating critical new technologies to enable system performance to meet user experience requirements. 5. Collaborate with the cross-function development team to lock the architecture design and drive optical system development to create compelling experiences. 6. Define future AR / VR optical system roadmap; Identify and verify the new technologies. 7. Drive supplier choice, interaction and management in order to enable massive production of the optical systems and components.","Minimum Qualifications: - Bachelor or above degree in Optics, Optical Engineering, Electrical Engineering or other related fields - 3+ years of optical engineering experiences in display, viewing optics or imaging optics. - Hands-on experience in display system optical design, prototyping and testing. - Knowledges in those areas: Lens design, optics specification and manufacturing, optical coating, display, illumination, radiometry, photometry, physical optics and opto-mechanical design - Familiar with at least one optical design and simulation tools such as Zemax, CodeV, Lightools, FRED or Lumerical, etc. - Proficient with programming languages such as Matlab or Python. - Strong communication skills. Preferred Qualifications: - Master or above degree in Optics, Optical Engineering, Electrical Engineering or other related fields with 3+ years of optical engineering experiences. - 3+ years of optical engineering experiences in display or viewing optics for consumer products - 5+ years of experience in display system optical design and simulations - Familiar with display technologies such as OLED, LCD, LCOS and more - Successful record of shipping consumer products in high volumes - Proficient with at least two optical design and simulation tools such as Zemax, CodeV, Lightools, FRED, Lumerical, etc.",Palo Alto,Technology,Tencent,2022-06-24
13,"Lead Optical Metrology Engineer, AR / VR Optics",5297047002,https://boards.greenhouse.io/tencent/jobs/6197006002,,"Responsibilities: 1. Develop and implement optical metrology solutions for characterizing optical systems and components in AR / VR products. 2. Define and develop the test metrics and methods for AR / VR optics characterization 3. Lead the multi-discipline engineering work including hardware, software, system integration and instrument qualification. 4. Develop benchtop Prototypes for optical metrology. . 5. Bringing up MP metrology solution by working with XFN teams and suppliers; Provide technical assessments of vendor capability gaps to assess risk and resource requirements for technology bring up. 6. Perform statistical analysis on metrology data to correlate to performance metrics. 7. Explore novel optical metrology technologies and prototype development.","Minimal Qualifications: - Master degree or above in Optical Engineering, Physics, or a related technical discipline with 3+ years of experience or equivalent experience. - Hands-on experience in optical metrology development from concept to system validation. - In-depth knowledge of display optics, display and image quality metrics, color science, optical metrology and characterization. - Experience in image processing and algorithm development - Proficiency in statistical data analysis using Minitab or JMP. - Strong communication and presentation skills. Preferred Qualifications: - Successful track records with delivering metrology for AR / VR optics, such as Pancake lens and Waveguides - Experiences of defining the display and / or imaging quality metrics for AR / VR applications - 5+ years of optical engineering experiences in developing complex optical systems in the cross-function environments. - Experience in test automation using MATLAB, Python or C++. - Proficient with design and simulation tools such as Zemax, CodeV, Lightools, and / or Solidworks etc. - Experiences of working with global suppliers to deliver the metrology equipment",Palo Alto,Technology,Tencent,2022-06-24
14,"Lead Optical Design Architect, AR / VR",5297044002,https://boards.greenhouse.io/tencent/jobs/6197003002,,"Responsibilities: 1. Define optical architecture for next generation AR / VR viewing optics and display systems and optical sensing systems. 2. Define future optics roadmap and scope out new technologies 3. Optical design and simulation for system performance evaluation, component specification and tolerance analysis 4. Coordinate with cross-function teams to develop optical prototypes in AR / VR for demonstration and verification purposes. 5. Guide Optical systems / components characterizations with lab measurements. 6. Set the optical testing methods and standards for MP, including viewing optics and imaging optics. 7. Identify manufacturing feasibility in new technologies through researching, prototyping and simulated analysis for the purposes of mass production.","Minimum Qualifications: - Master or above degree in Optics, Optical Engineering, Electrical Engineering or other related fields. - 5+ years of optical engineering experiences in designing and developing sophisticate optical systems in the cross-function environments. - 3+ years of experiences in designing and developing the optics for the Near-Eye Display. - 3+ years of experiences of managing optics vendors for MP - Familiar with at least one optical design and simulation tools such as Zemax, CodeV, Lightools, FRED or Lumerical, etc. - Proficient with programming languages such as Matlab or Python. - Strong communication skills. Preferred Qualifications: - PhD degree in Optics, Optical Engineering, Electrical Engineering or other related fields with 3+ years of optical engineering experiences. - 10+ years of optical engineering experiences in designing and developing sophisticate optical systems in the cross-function environments. - Successful track records of shipping consumer products with the Near-Eye Display - Experiences with VR optics, such as Pancake lens - Proficient with at least two optical design and simulation tools such as Zemax, CodeV, Lightools, FRED, Lumerical, etc.",Palo Alto,Technology,Tencent,2022-06-24
15,"Lead Imaging and Sensing Engineer, AR / VR",5298070002,https://boards.greenhouse.io/tencent/jobs/6199252002,,"Responsibilities: 1. Lead the design and the development from early prototypes to production of cameras, imaging or depth sensors used for next generation AR / VR products. 2. Define the imaging and sensing requirements based on the need of the AR / VR / MR user experiences; Translate requirements to sensing HW specifications and down-select image sensing solutions for products. 3. Design and implement metrics to quantify performance quality of machine perception and RGB images. 4. Work with a cross functional team to ensure a sound imaging architecture and flawless integration of image sensors into the final product. 5. Lead and collaborate with internal or external partners to develop novel sensor solutions to meet future AR / VR sensor needs, work with vendors to align and influence their sensor roadmap. 6. Bring up, calibrate, test and evaluate the new sensing prototypes; Define test plans and review results as part of cross-team collaborations. 7. Collaborate and routinely present technical data to cross functional audiences","Minimal Qualifications: - Master or above degree in Optics, Optical Engineering, Electrical Engineering or other related fields. - 5+ years of optical engineering experiences in designing, developing and characterizing imaging sensing system and / or camera modules - 2+ years of experiences in developing the imaging sensing system for consumer products. - 2+ years of experiences of managing optics and sensing vendors for MP - Hands-on experience setting up and characterizing imaging systems in a lab setting. - Experience with multi-camera system calibration. - Proficient with programming languages such as Matlab or Python. - Strong communication skills. Preferred Qualifications: - 5+ years of experiences in developing and launching the imaging sensing system for consumer products with successful track records of full product life cycles - Experience leading cross-functional communications for defining image quality requirements and test methods. - Knowledge of image processing techniques, ISP blocks and CV algorithms - Knowledge and experience with lasers, LEDs, sub components, drivers, optical components. - Knowledge of depth sensing systems, including stereo and time-of-flight systems.",Palo Alto,Technology,Tencent,2022-06-24
16,Project Management Internship,5166238002,https://boards.greenhouse.io/tencent/jobs/5915596002,,"1. Assist with the development of project objectives, schedule, and deliverables 2. Support in creation and distribution of project plans, requirement documents, status and progress reports, along with risks, contingency plans with lead project managers; 3. Facilitate effective project execution by monitoring project status, keeping alignment between team members / partners / vendors, gathering team responses and needs, monitoring project scope and watching for potential roadblocks 4. Help develop best practices and tools for project execution and management 5. Other duties, as assigned","1. Newly graduated Master or studying for Master’s in Video Game Design / Development, Computer Science, Software Development, Management, IT Management or related major; 2. Detail and Results oriented 3. Organizational and multitasking skills 4. Team orientation, collaboration, communication, and interpersonal skills 5. Solid working knowledge of Microsoft Office,Self-starter",Los Angeles,Product,Tencent,2022-06-24
17,Uncapped Games - VFX Artist (All Levels),5046995002,https://boards.greenhouse.io/tencent/jobs/5652851002,,What you’ll get to do: Create and implement high-quality visual effects that look stunning and support gameplay Help develop an effective and efficient VFX pipeline Partner closely with other artists to help establish best practices for the style and vision of the game Collaborate with all departments to take a multi-discipline approach to creativity and problem solving,"What we are looking for: Passion for RTS and our mission Ability to work independently as the first VFX artist on the team, preferably with over 3 years of experience creating VFX for video games Proficiency in creating real-time 2D and 3D FX using Maya, Photoshop, and other similar software Experience creating stylized FX using flipbooks, particle systems, physics, and more Strong understanding of animation and timing principles Pluses: Experience working with Unity or Unreal Experience with isometric games",Los Angeles,Design & Art,Tencent,2022-06-23
18,Uncapped Games - Senior UI Engineer,4859782002,https://boards.greenhouse.io/tencent/jobs/5248241002,,- Evolve iteratively existing systems into state of the art solutions. - Work with designers to design and iterate on UI and unit control. - Support and maintain a culture of fast iteration and practical problem-solving.,"What we are looking for: - Passion for playing and making games. - High sense of integrity, openness to give others insightful feedback, and respect for fellow teammates. - Proficiency in C / C++ programming. - Good math skills in linear algebra and geometry. - Proficiency in one or more of the scripting languages: C#, JavaScript, LUA, Python etc. - Record of shipping at least one AAA game on PC or console from inception to finish. Pluses: - Experience working with Unity3D or Unreal - A degree related to engineering or science - Experience with isometric projects.",Los Angeles,Product,Tencent,2022-06-23
19,Game Digital Marketing Director,5303569002,https://boards.greenhouse.io/tencent/jobs/6211957002,,"1. Responsible for the management of Tencent Games' digital marketing team in overseas markets, planning and formulating the annual game digital marketing strategy. 2. Track and monitor the implementation results of marketing or promotion strategies, adjust and optimize marketing strategies through data statistics and analysis; 3. Manage team to track and analyze advertising data, propose optimization and improvement plans; monitor and construct advertising delivery, analyze all aspects of delivery and granular data, and provide data support for strategy algorithm iteration; 4. Cooperate with the product / R&D / data BI department to promote the implementation of the optimization plan and bring about the actual improvement and growth of the business; track and collect market and industry information, monitor and data analysis of business-related products.","1. More than ten years of game or Internet marketing experience, and more than five years of practical and team management experience in the field of overseas digital marketing. 2. Proficient in the marketing methods of game marketing, with excellent user insight, marketing strategies and creative planning capabilities. 3. Sensitive to data and capable of data analysis. Familiar with overseas cultures and markets, can regularly track and analyze the marketing strategies of competing products in the industry, and can quickly analyze and adjust distribution strategies based on data from various marketing methods. 4. Strong team management ability and cross-departmental collaboration ability, good at integrating and using various internal and external resources. 5. In-depth understanding of moba, two-dimensional, RPG, shooting game categories, and experience in promoting related categories in overseas markets is preferred.",Palo Alto,Marketing & Public Relations,Tencent,2022-06-23
20,Marketing Manager / Director,5303752002,https://boards.greenhouse.io/tencent/jobs/6212124002,,"1. Responsible for the marketing and team management of Tencent Games in overseas markets. 2. Lead the team to formulate the goals, market strategies and plans of the game in overseas markets, and organize the implementation. 3. Leading products, through the analysis of distribution data, user feedback and market status, quickly iteratively optimize market strategies, and continuously accumulate experience and methods. 4. Expand the resources of Tencent Games in overseas markets and shape the team's publishing capabilities in overseas markets.","1. More than 10 years of work experience in the game industry, and more than 3 years of team management experience in overseas game marketing. 2. Proficient in the marketing methods of game marketing, with excellent user insight, marketing strategies and creative planning capabilities. 3. Sensitive to data, can quickly analyze and adjust the distribution strategy according to the data of various marketing methods. 4. Have strong team management ability and cross-departmental collaboration ability, good at integrating and using various internal and external resources. 5. In-depth understanding of moba, two-dimensional, RPG, shooting game categories, and experience in promoting related categories in overseas markets is preferred. 6. Have unique insights into overseas game marketing, be able to actively explore new opportunities, and have experience in at least one successful overseas publishing project.",Palo Alto,Marketing & Public Relations,Tencent,2022-06-23
21,Community Product Manager,5303755002,https://boards.greenhouse.io/tencent/jobs/6212126002,,"1. In charge of the overall planning and management of local community teams, regional community product operation, and product function optimization. 2. Customize differentiated content and activity plans in conjunction with version, operation, market nodes, and platform characteristics. Pay attention to the feedback and precipitation of performance, continuously improve the attention, activity, and reputation of the community, and collaborate with PR and other ways to feed back the game's acquisition, activation, and returns. 3. Discover and cultivate community KOLs, improve community creation and distribution ecosystem, and effectively drive community high-quality content and activity through community activities. 4. Exploit the collaboration resources and chances of external platforms to assist the community in growing continually in the long-term operation period.","1. More than 10 years of working experience in the game industry is preferred, and more than 3 years of practical and team management experience in the field of international game distribution, as well as an overseas business background or other abroad relevant experience is preferred. 2. Great devotee of games and have in-depth understanding of the international mobile game market. 3. Have excellent creative ability, grasp abroad popular social media, and be able to coordinate the local team to to produce creative content based on local user. 4. Excellent self-motivation, serious and responsible work, sharp insight, and rapid learning abilities; Ability to create short videos and graphics is preferred. 5. English can be used as working language.",Palo Alto,Marketing & Public Relations,Tencent,2022-06-23
