,title,internal_id,url,description,responsibilities,qualifications,location,type,company,publish_date
13,Research Engineer,241580,https://career.huawei.com/socRecruitment/services/portal/portalpub/getJobDetail?jobId=241580,,"- Research and Develop proof of concept innovative solutions - Collaborate with Researchers, Architects, and Product Management in Turkey, Silicon Valley and China to transfer technology into real Huawei products - Generate high quality proposals, publications and / or patents at national and international levels - Manage Industry - University relations","Business Skills Requirements: - The following skills are desired: - Experience in Web application and development - Experience in big data technologies (Hadoop, Java Map / Reduce, Hive, Spark SQL) - Ability to solve problems creatively - Good written and oral communication skills - Customer oriented, work systematically under tight schedules - Fluency in both written and spoken English - Available for domestic or international travel when required Professional Knowledge Requirement: Analyze software requirements of the respective module / feature or propose comments that are accepted during requirement reviews; guide the requirement analysis of sub-modules / sub-features. or Analyze non-functional requirements (maintainability, conciseness, testability, reliability, efficiency, portability) of the respective module / sub-system; identify code defects and work out corrective measures. Developed at least one requirement document regarding the software module / feature, and the requirements were clear, complete, and accurate; or participated in technical statement of compliance (SOC) regarding software requirements, and developed at least one bid proposal that was clear, complete, and accurate. or Wrote at least one analysis report on non-functional requirements of a software module / sub-system. Participate in the overall software system design. Verify the feasibility of the software system design in modules. Developed at least one document regarding the results of verificati",Turkey/Istanbul,研发族,Huawei,2022-07-04 00:00:00+08:00
15,Assistant Software Test Engineer,241562,https://career.huawei.com/socRecruitment/services/portal/portalpub/getJobDetail?jobId=241562,,"Focus on the business presence of the Technology Introduction area and analyze and review presence on a regular basis, proactively facilitate integration, support delivery of businesses in the Technology Introduction department, especially innovative, turned around and new business, fully utilize the advantages in field management and support the research center in developing its business capabilities and enhancing its efficiency. Deploy the key technologies of the domain and ensure the technical competencies of the products.","Business Skills Requirements: Problem solving, Good communication to work with the customer. Candidate should have analytical thinking. Complete the test execution and build environments for basic functions, Stories, documentation, and iteration acceptance under guidance; the execution is accurate without omission; no incident on live networks or cyber security incident occurs due to basic functions or documentation,Complete use case maintenance of functions, Stories, and documentation of the R / C versions. Was able to maintain test cases and common automation cases to improve product quality and efficiency. Professional Knowledge Requirement: Knowledge on JIRA, HPQC tools is preferable, Candidate should have at high level of Linux OS, Database and SQL knowledge, Knowledge of product business and components Security basics and basic security testing technologies Basics of the Product Test Management (PTM) process Overview of agile development Basics of testing technologies Basic concepts of testing tools and automation Documentation test Core quality concepts and issue resolution and improvement Software development knowledge",Turkey/Istanbul,研发族,Huawei,2022-07-04 00:00:00+08:00
16,HR General,241497,https://career.huawei.com/socRecruitment/services/portal/portalpub/getJobDetail?jobId=241497,,"- Execute annual employee headcount and cost budget and yearly Compensation and Benefit review process - Managing salary increases and benchmarking, reward management, job - To bring best practices according to business needs - Based on data analysis and metrics, HR BP makes recommendations for policies and activities to attract and recruit qualified candidates, motivate and retain",Business Skills Requirements: Detail-oriented individual who is not afraid of process Innovative ideas and approaches for Talent Acquisition Results-oriented Professional Knowledge Requirement: 5+ years of HR domain experience Great attitude and a team player Good communication skills,Turkey/Istanbul,人力资源族,Huawei,2022-07-01 00:00:00+08:00
17,通信载荷系统设计工程师,241346,https://career.huawei.com/socRecruitment/services/portal/portalpub/getJobDetail?jobId=241346,,1. 梳理卫星载荷通信系统架构，组织基带、接入相控阵、馈电等子系统分析和模块设计，组织系统可靠性设计、分解和落地，保障设计的方案满足商业航天载荷在轨可靠性应用； 2. 熟悉卫星整星的总体设计，组织载荷系统和整星平台对接集成的分析，能够指明载荷和整星的软硬件接口，确保载荷和整星的整体最优，实现整星竞争力提升。,业务技能要求： 精通卫星平台和通信载荷架构设计，接口定义，对于通信载荷分系统的各子系统 包括基带处理，主控，存储，时钟系统，射频或微波收发信机，相控阵天线，等方面的原理，架构，方案有深刻理解和丰富的实践经验，能够指导组件设计并完成收发信机系统搭建。 专业知识要求： 1. 精通卫星通信载荷系统设计方法，具有通信载荷有端到端的设计、验证和交付的成功经验； 2. 组织载荷系统总相关领域的行业产业链分析，保障关键器件和技术可获取、可制造，能够满足商业航天的要求。,中国/上海,研发族,Huawei,2022-07-01 00:00:00+08:00
18,NTN射频子系统专家,241366,https://career.huawei.com/socRecruitment/services/portal/portalpub/getJobDetail?jobId=241366,,1. 梳理卫星载荷通信系统射频架构，组织相关链路分析和模块设计，组织星载可靠性工程评估及优化，保障设计的方案满足商业航天载荷应用； 2. 熟悉行业信息，组织行业分析和洞察，能够指明所承载产品的发展方向；并结合规划，完成关键技术分析和分解，实现竞争力演进； 3. 组织行业产业链分析，组织所承载射频系统的生产可行性分析，保障设计的产品，可获取、可制造，能够满足商业航天的要求。,业务技能要求： 熟悉载荷系统产业链及行业标准，能够制定商业航天射频系统规划和关键技术分解，参与规格分解，完成产业链策略定制，射频标准定制。 专业知识要求： 具备卫星应用基础知识，熟悉载荷应用场景，具有一定载荷射频系统的设计经验和宇航可靠性经验；能够独立完成星载收发信机射频子系统设计，工程应用；能够指导组件设计并完成收发信机系统搭建；设计的射频子系统具备竞争力，成本和可制造性满足要求。,中国/西安,研发族,Huawei,2022-07-01 00:00:00+08:00
19,Business operation specialist,241326,https://career.huawei.com/socRecruitment/services/portal/portalpub/getJobDetail?jobId=241326,,"- Undertake the DSTE process, promote strategy execution, and implement KPIs, including communicating with the HQ and regions and aligning with the rep offices and organizing and promoting the implementation. - Promote the management and implementation of regional key tasks to achieve objectives. - Regional ST planning and key meeting execution - Key measures implementation management of regions - Manage and achieve KPIs of regions, rep offices, and offices.",Business Skills Requirements: Have successful operation support experience KPI management experience Key measures implementation management Professional Knowledge Requirement: Process quality basics Project management knowledge Financial knowledge,Poland/Warsaw,质量与流程IT族,Huawei,2022-06-30 00:00:00+08:00
20,Account Manager,240138,https://career.huawei.com/socRecruitment/services/portal/portalpub/getJobDetail?jobId=240138,,"- Represent Huawei at key customers, understand their business requirements, build up and maintain a stable sales funnel, while always look for new business development opportunities to secure a long-term growth path; - Understand and get involved in the creation of customer strategies, orchestrate the Huawei team of solution sales, engineering, R&D and back office functions to achieve customer satisfaction; - Focus on key IT technology areas such as IP and IT networks, datacenter and computing technologies, enterprise communication and collaboration, continually inform customer and other important influencing organizations about technology developments, new product launches and Huawei’s advantages vs. competitors; - We expect you to actively participate and monitor presales, tendering / offering and delivery process and get proactively involved whenever needed; - Holding presentations, organize and facilitate professional workshops and events with the help of other departments (both on","Business Skills Requirements: - 2-3 years work experience as a sales / account / business development manager responsible for government / public sector, preferably gained at IT / ICT / Telecommunication / System Integrator / Distributor companies; - Good knowledge of public procurement practices and processes; - Good communication skills, teamwork spirit, open mindset to new cultures, working methods and technologies and willingness to take responsibility for personal contribution; - Excellent English and Serbian language skills. Professional Knowledge Requirement: - A Bachelor's degree or above; preferably in a commercial or business administration field or in other field with relevant sales experience; - Adequate understanding of key ICT technologies and experience in doing business with the Serbian government / public sector is a must; - Familiarity with relevant mainstream vendors, products & solutions and distributors is preferred;",Serbia/Belgrade,销售族,Huawei,2022-06-30 00:00:00+08:00
21,资金经理（现金）,241183,https://career.huawei.com/socRecruitment/services/portal/portalpub/getJobDetail?jobId=241183,,"1、Responsible for the efficiency and liquidity of the regional subsidiary's cash, monitor and control the operations of all liquidity management which include, but are not limited to daily transactions, cash plan, and bank account, balance management. 2、Manage the intercompany fund transfers, intercompany loans as well as the dividend payments of each subsidiary. 3、Ensure the compliance of external regulation and internal policy. Proactively monitor cash management processes, identifying non-standard activity, exceptions or non-compliance to banking and treasury policies, and escalating to management. 4、Analyze, recommend, and execute authorized strategies for IHB Services – Cash Management / Operations. 5、Work with corporate banks and evaluates bank services capability, monitors bank performance and recommend appropriate action. 6、Keep in good communication with Regional finance and support their business development.","业务技能要求： 1、Strong learning ability and adaptability, good analytical and logical thinking ability. 2、Good communication、organization and coordination ability, project management experience is preferred. 3、Fluent English, proficient in English listening, speaking, reading and writing. 4、Good command of office software. 专业知识要求： 1、1+ years experience working with international financial institutions and a knowledge of commercial banking cash management practices. 2、SunGard or a similar treasury management system. 3、Finance or a related major (such as accounting, economics, or business administration).",United Kingdom/London,财经族,Huawei,2022-06-29 00:00:00+08:00
22,PACK设计专家,241232,https://career.huawei.com/socRecruitment/services/portal/portalpub/getJobDetail?jobId=241232,,PACK设计专家： 1、负责储能主力版本Pack需求与方案开发落地，支撑高质量交付，竞争力业内领先。 2、负责储能PACK重大问题定位分析，解决关键技术风险 / 问题，固化经验，提升Pack团队技术能力。 3、负责储能PACK产品路标规划、PACK技术 / 专利规划，并推动落地实现，持续推进产品平台化演进； 4、负责储能产品PACK竞争力提升（安全，质量，成本等），针对PACK关键技术如安全设计，膨胀力设计、绝缘设计、消防灭火设计、极简PACK设计、一体化线束设计等专项研究，对Pack技术竞争力负责。,业务技能要求： 1、熟悉业界储能产品PACK设计现状，演进方向，以及应用场景特点等； 2、具有两款以上储能系统或动力电池系统PACK的开发与设计经验，并形成量产规模发货 专业知识要求： 1、熟悉储能材料体系 / 电池 / PACK结构 / 配电 / 功率 / BMS软硬件 / 算法等其中多项相关知识； 2、熟悉储能产品PACK结构，制程工艺，测试标准与方法，及常见失效模式与处理方法； 3、熟悉储能PACK安全、温控、成组、配电、消防、逻辑应用管理等多项相关知识；,中国/东莞,研发族,Huawei,2022-06-29 00:00:00+08:00
23,工程师A,241225,https://career.huawei.com/socRecruitment/services/portal/portalpub/getJobDetail?jobId=241225,,标准职责 供应中心面向区域中大型代表处 / 国家端到端订单履行方案的执行人，为所负责国家 / 代表处提供一站式订单履行服务；基于预测、ATP和下单匹配供需，组织解决订单履行过程中的供需异常，保障客户订单及时齐套交付。 | | 基于区域项目安装 / 要货计划，管理订单备货和发货计划，监控和管理订单履行过程，组织解决履行过程中的供需异常，执行从订单生成到SO关闭的端到端订单履行方案，包含有效发货 / 异常 / 变更 / 进度 / 计划 / 承诺管理，对合同 / PO的及时齐套到货负责。 | | 管理生产配置异常，订单生成时识别与拦截，履行中快速定位并闭环管理，为后端提供清洁输入。 | | 面向产品维度基于规则进行产品与订单的动态匹配及通用规则下的资源调配，对涉及资源分配的订单，基于调配结果审视齐套性并调整承诺。 | | 基于国家特性 / 代表处业务特点及自身经验沉淀，梳理所负责国家 / 代表处订单业务痛难点，协同订单统筹专家，参与业务改进和流程优化方案的制定及实施。 | | （17级要求）综合考虑需求 / 供应 / 物流等约束条件，组织落地S / A / B级及重难点项目订单履行方案，或独立承担中型项目的端到端订单履行，对所负责的国家 / 代表处供货满意度及供货周期、质量、成本等负责。 自定义职责 null,业务技能要求： 订单需求管理：备发货条件管理；订单计划制定与变更管理；订单状态管理及应用 2、订单配置：订单配置设计；订单配置生成 3、订单交易：交易模式设计与适配； 4、订单履行：分场景SLA设计与履行周期管理；订单承诺与变更管理 专业知识要求： 1、 掌握订单履行、订单交易、商务、贸易等基础知识； 2、 了解IPD、LTC、ISC、IFS等流程，并能全流程审视合同履行规划（数据对齐、拉通评审） 3、了解上下游、周边强相关领域（计划、采购、制造、研发、市场）的基础知识和业务运作逻辑以及合同履行业务与它们的相互关系及影响；,Hungary/Budapest,供应链族,Huawei,2022-06-29 00:00:00+08:00
25,光储解决方案专家,241238,https://career.huawei.com/socRecruitment/services/portal/portalpub/getJobDetail?jobId=241238,,光储解决方案专家： 负责商用储能系统功率架构及其关键技术技术规划与设计，识别新技术与机会点，实现关键技术突破和技术Ready； 1、主导制定储能系统功率架构的发展路标，输出N+X技术规划，确保产品技术竞争力持续领先；精通宽禁带半导体特性及应用，能够通过器件、封装、电路、拓扑等创新技术构建领先的系统技术竞争力； 2、主导储能系统功率架构的规划与开发，在不同类型电网下大规模新能源接入的控制、综合能源管理、高效功率变换拓扑、核心器件创新等方面实现技术突破，构筑N+X技术竞争力； 3、主导储能系统功率架构硬件领域的技术专利布局并输出核心专利。,"业务技能要求： 1、熟悉掌握电站储能系统交、直流耦合架构与控制技术，对电站储能系统的大功率配电，拓扑结构非常熟悉； 2、精通用于并网整流器、逆变器或者电机控制的自动控制系统理论，并具有相应的控制系统设计经验；熟悉逆变器并网算法技术和大规模新能源电网接入稳定性分析与建模技术； 3、具有市场洞察力，熟悉行业状况及技术发展趋势，能够主导逆变器功率技术发展方向和节奏。 专业知识要求： 1、 精通商用储能系统逻辑架构、功率架构、整机架构设计,擅长PCS \ EMS \ BMS及电池特性及应用； 2、有储能系统设计与开发经验，具备储能子系统功率、锂电、电气、整机、温控、消防等设计开发经验。",中国/西安,研发族,Huawei,2022-06-29 00:00:00+08:00
26,微电网软件技术专家,241240,https://career.huawei.com/socRecruitment/services/portal/portalpub/getJobDetail?jobId=241240,,微电网软件技术专家： 1. 掌握微电网控制系统设计，对微电网应用的行业标准有深入的理解。在微电网发电应用领域至少五年以上的工作经验。 2. 精储能管理 / 光伏供电系统的控制技术；深入掌握并离网技术规范。至少有一款以上主导设计的微电网产品批量上市。 3. 对微电网行业的演进和规划、竞争力有洞察和观点，对做出领先的产品有责任感和使命感；,业务技能要求： 1. 对新能源行业和技术饱含热情，专业精深； 2. 在新能源或电网系统应用领域八年以上工作经验；有成功产品或解决方案案例的尤佳； 3. 对微电网行业的规划、演进、竞争力有深刻洞察对做出领先的产品有责任感和使命感； 4. 熟悉源网荷储系统建模、仿真与核心算法设计；或熟悉解决方案与系统设计运作；或熟悉规划&运行仿真的基本流程，掌握相关仿真软件，具有一定的半实物仿真系统搭建和仿真经验。 专业知识要求： 1. 精通电力系统及其自动化专业知识； 2. 熟悉智能化技术； 3. 熟悉源网荷储系统建模与仿真； 4. 精通新能源系统调度控制和能量管理技术； 5. 了解新能源系统基本运行原理和系统架构,中国/东莞,研发族,Huawei,2022-06-29 00:00:00+08:00
27,工程师A,241223,https://career.huawei.com/socRecruitment/services/portal/portalpub/getJobDetail?jobId=241223,,标准职责 供应中心面向区域中大型代表处 / 国家端到端订单履行方案的执行人，为所负责国家 / 代表处提供一站式订单履行服务；基于预测、ATP和下单匹配供需，组织解决订单履行过程中的供需异常，保障客户订单及时齐套交付。 | | 基于区域项目安装 / 要货计划，管理订单备货和发货计划，监控和管理订单履行过程，组织解决履行过程中的供需异常，执行从订单生成到SO关闭的端到端订单履行方案，包含有效发货 / 异常 / 变更 / 进度 / 计划 / 承诺管理，对合同 / PO的及时齐套到货负责。 | | 管理生产配置异常，订单生成时识别与拦截，履行中快速定位并闭环管理，为后端提供清洁输入。 | | 面向产品维度基于规则进行产品与订单的动态匹配及通用规则下的资源调配，对涉及资源分配的订单，基于调配结果审视齐套性并调整承诺。 | | 基于国家特性 / 代表处业务特点及自身经验沉淀，梳理所负责国家 / 代表处订单业务痛难点，协同订单统筹专家，参与业务改进和流程优化方案的制定及实施。 | | （17级要求）综合考虑需求 / 供应 / 物流等约束条件，组织落地S / A / B级及重难点项目订单履行方案，或独立承担中型项目的端到端订单履行，对所负责的国家 / 代表处供货满意度及供货周期、质量、成本等负责。 自定义职责 null,业务技能要求： 1、订单需求管理：备发货条件管理；订单计划制定与变更管理；订单状态管理及应用 2、订单配置：订单配置设计；订单配置生成 3、订单交易：交易模式设计与适配； 4、订单履行：分场景SLA设计与履行周期管理；订单承诺与变更管理 专业知识要求： 1、 掌握订单履行、订单交易、商务、贸易等基础知识； 2、 了解IPD、LTC、ISC、IFS等流程，并能全流程审视合同履行规划（数据对齐、拉通评审） 3、了解上下游、周边强相关领域（计划、采购、制造、研发、市场）的基础知识和业务运作逻辑以及合同履行业务与它们的相互关系及影响；,Hungary/Budapest,供应链族,Huawei,2022-06-29 00:00:00+08:00
